title;author;journal;year;source;pages;volume;abstract;document_type;doi;url;affiliation;author_keywords;keywords;publisher;issn;language;note;selection_criteria;status
A Study on the Impact of Model Evolution in MBT Suites;Silva, Anderson G.F. and Andrade, Wilkerson L. and Alves, Everton L.G.;;2018;ACM Digital Library;49–56;;Software testing is known to be a key-factor for the success of a software development project. In this context, Model-Based Testing (MBT) plays an important role by providing an automated way for generating test cases from system models. However, although MBT can be helpful for creating sound test cases, its use can be very sensitive to model changes. Model edits often lead to a great number of obsolete test cases, as the software and its models evolve. This fact is even more evident in agile projects where requirement artifacts are very volatile. This paper presents an empirical study designed for investigating how model edits can impact MBT test suites. For that, we run a case study in the context of two industrial projects that apply agile methodologies combined with the use of MBT. We observed the evolution of specification models and their impact on generated MBT suites. Our results showed that 86% of the generated test cases were discarded due to model edits and their impact. However, a deeper analysis found that 52% of these tests were impacted only by syntactic model edits, which indicate they could be reused with little revision efforts.;;10.1145/3266003.3266009;https://doi.org/10.1145/3266003.3266009;;;Test Suite Maintenance, Use Case Evolution, Model-Based Testing;Association for Computing Machinery;;;;;Rejected
Functional Requirements Elicitation in IoT Systems: A Follow-up Study;Pald\^{e}s, Roberto Avila and Canedo, Edna Dias and Guimar\~{a}es, Fernando de Albuquerque and Calazans, Ang\'{e}lica Toffano Seidel;;2021;ACM Digital Library;;;As the Internet of Things (IoT) advances, specific views have been proposed for the entire software development cycle and also for Requirements Engineering (RE). The analysis of the use of RE techniques, tools, and models can contribute to obtain better results in this field. This paper presents a Systematic Mapping Study (SMS) to investigate techniques for Functional Requirements (FR) elicitation in IoT software systems, as well as gaps and limitations of current solutions. During the SMS, seventeen articles focused on FR in the IoT were found. The analysis was complemented with an input from the experience of practitioners who have dedicated to this topic, obtained through structured and semi-structured interviews. The results show that FR elicitation has started from the use of traditional techniques, but that these do not fully meet the specificities of the IoT. The majority of the models found are based on UML (Unified Modeling Language) and the most important techniques are based on scenarios. The tools that support these proposals are maturing or under development. In the conclusion, the study shows the advancements already achieved, as well as the challenges and opportunities that are still present.;;10.1145/3439961.3439975;https://doi.org/10.1145/3439961.3439975;;;Functional Requirements Elicitation, Internet of Things, Software System, Systematic Mapping Study.;Association for Computing Machinery;;;;;Rejected
Empirical Study on Commonly Used Combinations of Estimation Techniques in Software Development Planning;Kialbekov, Arman;;2020;ACM Digital Library;44–50;;Precise estimation of time and effort in the lifecycle of a project plays an important role in delivering a final product on time within an established budget, and with expected quality. Inappropriate estimation of effort may lead to overestimation or underestimation of required resources. As people remain to be a constant part of the software development process they should also be considered as an influencing factor in software development estimation process. This work presents the most popular estimation techniques that are used by the survey sample. The questionnaire was completed by 51 participants with industrial experience in Innopolis. The goal was to find differences between roles in software development teams and the techniques that are used to estimate efforts. The result of the survey used to derive main groups of the respondents and map them to estimation techniques. These mappings were analyzed and compared between two main groups to find tendencies, differences, and similarities. The study is considered to help understand patterns of effort estimation among software engineers and revising existing estimation techniques.;;10.1145/3393822.3432328;https://doi.org/10.1145/3393822.3432328;;;Software Estimation, Software Development, Effort Estimation;Association for Computing Machinery;;;;;Rejected
Acceptance of the Methods of Decision-Making: A Case Study from Software Development Companies in Ukraine and Malaysia;Mezhuyev, Vitaliy and Lytvyn, Oleg M. and Pershyna, Iuliia and Nechuiviter, Olesia and Lytvyn, Oleg O. and Lavrik, Vladimir and Kovalska, Oksana and Gunchenko, Yurii;;2019;ACM Digital Library;199–204;;Any software development company encounters issues that need decision-making. At the same time, the use of reliable and proven methods of decision-making does not become a common practice in software companies worldwide. The issues here are the need for extra staff training, allocation of additional time, and inertia of the software industry. This research studies the problems of adoption of the methods of decision-making in the software development companies of Ukraine and Malaysia. The survey was conducted to evaluate software engineers' attitudes toward the use of the methods of decision-making. Research outcomes can be used to raise the level of adoption of the methods of decision-making in software companies worldwide.;;10.1145/3316615.3316677;https://doi.org/10.1145/3316615.3316677;;;attitudes, Ukraine, Methods of decision-making, software development, acceptance, Malaysia;Association for Computing Machinery;;;;;Rejected
How Can We Develop Explainable Systems? Insights from a Literature Review and an Interview Study;"Chazette, Larissa and Kl\""{u}nder, Jil and Balci, Merve and Schneider, Kurt";;2022;ACM Digital Library;1–12;;Quality aspects such as ethics, fairness, and transparency have been proven to be essential for trustworthy software systems. Explainability has been identified not only as a means to achieve all these three aspects in systems, but also as a way to foster users’ sentiments of trust. Despite this, research has only marginally focused on the activities and practices to develop explainable systems. To close this gap, we recommend six core activities and associated practices for the development of explainable systems based on the results of a literature review and an interview study. First, we identified and summarized activities and corresponding practices in the literature. To complement these findings, we conducted interviews with 19 industry professionals who provided recommendations for the development process of explainable systems and reviewed the activities and practices based on their expertise and knowledge. We compared and combined the findings of the interviews and the literature review to recommend the activities and assess their applicability in industry. Our findings demonstrate that the activities and practices are not only feasible, but can also be integrated in different development processes.;;10.1145/3529320.3529321;https://doi.org/10.1145/3529320.3529321;;;explainability, explainable systems, interview study, software process;Association for Computing Machinery;;;;;Rejected
Human Factors and Their Influence on Software Development Teams - A Tertiary Study;Dutra, Eliezer and Diirr, Bruna and Santos, Gleison;;2021;ACM Digital Library;442–451;;Background: Software organizations increasingly need developers with high skills for social interactions. Managers, leaders, and academics need to know the human factors influencing the individuals, the development team, and the software project activities. Despite the increasing number of secondary studies about human factors in Software Engineering (SE) and in Agile Software Development (ASD), there is no study synthesizing which human factors influence software development without a specific perspective from SE or human factor thematic. Objective: We aim to summarise human factors and their influence on SE development teams and ASD teams. Method: We executed a tertiary study. We used thematic analysis to examine the resulting data. Results: We found 29 systematic literature reviews and systematic mapping studies addressing the human perspective in SE teams. We identified 101 human factors and 79 influences grouped in 4 categories (Team member, Team, Project, and Organization). Also, we identified 71 human factors and 60 influences on ASD. The most investigated human factors are Communication, Collaboration, Knowledge, and Motivation. Conclusions: The identified human factors and their influences can be considered most significant by software organizations, researchers, and academics in SE practices. Based on our results, practitioners might propose activities that enhance human capital behaviors that influence individual motivation, agile mindset, team climate, software quality, or agile transition in traditional organizations.;;10.1145/3474624.3474625;https://doi.org/10.1145/3474624.3474625;;;Tertiary study, Software Engineering, Human Factor Influence;Association for Computing Machinery;;;;;Rejected
Retrospective Based on Data-Driven Persona Significance in B-to-B Software Development;Watanabe, Yasuhiro and Washizaki, Hironori and Honda, Kiyoshi and Fukazawa, Yoshiaki and Taga, Masahiro and Matsuzaki, Akira and Suzuki, Takayoshi;;2018;ACM Digital Library;89–92;;A Business-to-Business (B-to-B) software development company develops services to satisfy their customers' requirements. Developers should prioritize customer satisfaction because customers greatly influence on agile software development. However, it is possible that a B-to-B software development company has following issues: 1) failure to understand actual users because the requirements are not often derived from actual users and 2) failure to satisfy the future customers' requirements when only satisfying current customers. Although many previous works proposed methods to elicit the requirements based on actual quantitative data, these works had not considered customers and end-users simultaneously. Herein we proposed Retrospective based on Data-Driven Persona Significance (ReD2PS) to help developers to plan future releases. ReD2PS includes Persona Significance Index (PerSil) to reflect the correspondence between target users, which developers assume based on requirements in releases, and end-users' personas. A case study involving a Japanese cloud application shows that PerSil reflects the relationship between target users and end-users to discuss about the validity and effectiveness of ReD2PS.;;10.1145/3183399.3183410;https://doi.org/10.1145/3183399.3183410;;;;Association for Computing Machinery;;;;Primary studies;Rejected
A Model of Software Prototyping Based on a Systematic Map;"Bjarnason, Elizabeth and Lang, Franz and Mj\""{o}berg, Alexander";;2021;ACM Digital Library;;;Background: Prototyping is an established practice for user interface design and for requirements engineering within agile software development, even so there is a lack of theory on prototyping. Aims: The main research objective is to provide a means to categorise prototyping instances, in order to enable comparison and reflection of prototyping practices. Method: We have performed a systematic mapping study of methodological aspects of prototyping consisting of thirty-three primary studies upon which we designed a model of prototyping that was validated through a focus group at a case company. Results: Our model consists of four aspects of prototyping, namely purpose, prototype scope, prototype use, and exploration strategy. This model supported the focus group participants in discussing prototyping practices by considering concrete prototyping instances in terms of the concepts provided by our model. Conclusions: The model can be used to categorise prototyping instances and can support practitioners in reflecting on their prototyping practices. Our study provides a starting point for further research on prototyping and into how the practice can be applied more cost-effectively to elicit, validate, and communicate requirements.;;10.1145/3475716.3475772;https://doi.org/10.1145/3475716.3475772;;;requirements engineering, Agile, systematic mapping study;Association for Computing Machinery;;;;Studies that do not deal with RE OR ASD;Rejected
Software Engineering in Medical Informatics: A Systematic Literature Review;Dalveren, Gonca Gokce Menekse and Mishra, Deepti;;2019;ACM Digital Library;112–117;;This study presents a systematic literature review to provide overall view of the application of Software Engineering (SE) in Medical Informatics (MI) field. Articles published from 2010 to 2019 from seven selected databases (Emerald, PubMed, IEEE, ACM, Taylor Francis, SAGE and Wiley) were investigated. The existing literature was analyzed, and the emerging areas of research in the medical informatics field have been identified. According to the findings of this study, medical informatics research has been applied in many fields but there is still potential of further research in different areas. Most of the reviewed studies were conducted on data mining, decision support, deep learning and IoT. Also, it can be said that most of the applications are provided as web-based instead of mobile applications. To conclude, the results of this study provides insights to the researchers about the research directions and the gaps in the literature in the MI and SE fields.;;10.1145/3357419.3357444;https://doi.org/10.1145/3357419.3357444;;;Health informatics, Software engineering, Medical informatics;Association for Computing Machinery;;;;;Rejected
DevOps in an ISO 13485 Regulated Environment: A Multivocal Literature Review;Lie, Martin Forsberg and S\'{a}nchez-Gord\'{o}n, Mary and Colomo-Palacios, Ricardo;;2020;ACM Digital Library;;;"Background: Medical device development projects must follow proper directives and regulations to be able to market and sell the end-product in their respective territories. The regulations describe requirements that seem to be opposite to efficient software development and short time-to-market. As agile approaches, like DevOps, are becoming more and more popular in software industry, a discrepancy between these modern methods and traditional regulated development has been reported. Although examples of successful adoption in this context exist, the research is sparse. Aims: The objective of this study is twofold: to review the current state of DevOps adoption in regulated medical device environment; and to propose a checklist based on that review for introducing DevOps in that context. Method: A multivocal literature review is performed and evidence is synthesized from sources published between 2015 to March of 2020 to capture the opinions of experts and community in this field. Results: Our findings reveal that adoption of DevOps in a regulated medical device environment such as ISO 13485 has its challenges, but potential benefits may outweigh those in areas such as regulatory, compliance, security, organizational and technical. Conclusion: DevOps for regulated medical device environments is a highly appealing approach as compared to traditional methods and could be particularly suited for regulated medical development. However, an organization must properly anchor a transition to DevOps in top-level management and be supportive in the initial phase utilizing professional coaching and space for iterative learning; as such an initiative is a complex organizational and technical task.";;10.1145/3382494.3410679;https://doi.org/10.1145/3382494.3410679;;;ISO 13485, DevOps, Medical device software development, Multivocal Literature Review;Association for Computing Machinery;;;;;Rejected
Needs and Challenges for a Platform to Support Large-Scale Requirements Engineering: A Multiple-Case Study;"Fucci, Davide and Palomares, Cristina and Franch, Xavier and Costal, Dolors and Raatikainen, Mikko and Stettinger, Martin and Kurtanovic, Zijad and Kojo, Tero and Koenig, Lars and Falkner, Andreas and Schenner, Gottfried and Brasca, Fabrizio and M\""{a}nnist\""{o}, Tomi and Felfernig, Alexander and Maalej, Walid";;2018;ACM Digital Library;;;Background: Requirement engineering is often considered a critical activity in system development projects. The increasing complexity of software as well as number and heterogeneity of stakeholders motivate the development of methods and tools for improving large-scale requirement engineering. Aims: The empirical study presented in this paper aim to identify and understand the characteristics and challenges of a platform, as desired by experts, to support requirement engineering for individual stakeholders, based on the current pain-points of their organizations when dealing with a large number requirements. Method: We conducted a multiple case study with three companies in different domains. We collected data through ten semi-structured interviews with experts from these companies. Results: The main pain-point for stakeholders is handling the vast amount of data from different sources. The foreseen platform should leverage such data to manage changes in requirements according to customers' and users' preferences. It should also offer stakeholders an estimation of how long a requirements engineering task will take to complete, along with an easier requirements dependency identification and requirements reuse strategy. Conclusions: The findings provide empirical evidence about how practitioners wish to improve their requirement engineering processes and tools. The insights are a starting point for in-depth investigations into the problems and solutions presented. Practitioners can use the results to improve existing or design new practices and tools.;;10.1145/3239235.3240498;https://doi.org/10.1145/3239235.3240498;;;stakeholders productivity, case study, recommender systems, large-scale requirement engineering, user participation;Association for Computing Machinery;;;;;Rejected
A Systematic Literature Review on Factors Impacting Agile Adaptation in Global Software Development;Altaf, Areebah and Fatima, Urooj and Butt, Wasi Haider and Anwar, Muhammad Waseem and Hamdani, Maryum;;2019;ACM Digital Library;158–163;;Agile practices are considered as a major attraction for global software development (GSD) projects owing to its flexible nature. Beside the major benefits it offers to GSD, there are few challenges that hinders its implementation across the global software industry. This study contributes in constructing a systematic literature review for exploring the major factors impacting the agile adaptation at global level. We have identified and analyzed 28 research studies (2015-2019). These selected studies have revealed Scrum and Extreme Programming (XP) as the most popular agile practices that are adapted irrespective of the software type and organizational structure. Furthermore 5 tool categories are also presented i.e. modeling, requirement elicitation, data tracking tools etc. that are commonly used while practicing agile. The major findings of this study conclude that these agile methodologies are heavily adapted due to their iterative model and quick code delivery but basic challenges like poor customer involvement and lack of documentation are badly affecting its growth at global level.;;10.1145/3348445.3348463;https://doi.org/10.1145/3348445.3348463;;;scrum, global software development, XP, Agile practices;Association for Computing Machinery;;;;;Rejected
Empirical Study of Customer Communication Problem in Agile Requirements Engineering;Gizzatullina, Ilyuza;;2019;ACM Digital Library;1262–1264;;As Agile principles and values become an integral part of the soft-ware development culture, development processes experience significant changes. Requirements engineering, an individual phase occurring at the beginning of the traditional development, is distributed between various activities according to agile. However, how customer communication related problems are solved within the context of agile requirements engineering (RE)? Empirical study of that problem is done using 2 methods: systematic literature review and semi-structured interviews. Problems related to customer communication in agile RE are revealed and composed into patterns. Patterns are to be supplemented with the solutions in the further research.;;10.1145/3338906.3342511;https://doi.org/10.1145/3338906.3342511;;;case study, empirical research, customer collaboration, agile software development, requirements engineering;Association for Computing Machinery;;;;;Rejected
Coping Strategies for Temporal, Geographical and Sociocultural Distances in Agile GSD: A Case Study;"Szab\'{o}, D\'{a}vid Marcell and Stegh\""{o}fer, Jan-Philipp";;2019;ACM Digital Library;161–170;;Globally distributed software development teams face a number of challenges in their work that are associated with temporal, geographical and sociocultural distances. This case study explores the relationship between agile practices and these three distances in global software development. Data was collected by interviews and secondary data analysis. The results show that the three distances affect agile practices and the case team modifies the agile practices accordingly. Agile practices, in turn, affect the three distances by reducing communication, control and coordination challenges. Non-agile coping strategies such as specialised communication strategies also play an important role to alleviate the effects of the different distances.;;10.1109/ICSE-SEIP.2019.00025;https://doi.org/10.1109/ICSE-SEIP.2019.00025;;;global software development, distances, agile software development;IEEE Press;;;;;Rejected
A Mapping Study on Product Owners in Industry: Identifying Future Research Directions;"Unger-Windeler, Carolin and Kl\""{u}nder, Jil and Schneider, Kurt";;2019;ACM Digital Library;135–144;;Product Owners in the Scrum framework - respectively the On-site Customer when applying eXtreme Programming - have an important role in the development process. The Scrum Guide states that this role is responsible for the requirements and maximizing the value of the product. However, the implementation of this role depends on the individual, the organization and the team and is perceived as difficult in industry.Various research approaches provide insights in the applied PO role in industry - yet, a conclusive bigger picture of the studies and reports on this issue is missing. To fill this gap, we conducted a systematic mapping study. Our findings structure the research area of Product Owners in industry in terms of research topics and applied research methods.In total, we identified 30 contributions addressing seven research topics and generated consolidated answers for each of them. While some of those topics provide congruent results, others point to gaps in current research: So is the PO role in large-scale projects clearly defined as a group effort, but questions regarding the leadership and management responsibilities of POs remain unanswered.Also, the impact of external circumstances on the PO role is a question that is worth to answer in future work.;;10.1109/ICSSP.2019.00026;https://doi.org/10.1109/ICSSP.2019.00026;;;product owner, systematic mapping study, XP, agile software development, scrum, on-site customer;IEEE Press;;;;;Rejected
Impact of the Covid-19 Pandemic on the Requirement Engineering Process in Small Development Projects: A Case Study;Qahtani, Abdulrahman Mohammed;;2022;ACM Digital Library;1–6;;Requirement engineering (RE) is crucial for any software development project. It plays a vital role in the development lifecycle, as it lays the foundation for all subsequent development steps. Ensuring proper collection of project requirements makes the subsequent process, including design, development and testing, easier. The software industry has paid great attention to RE, including tools and techniques, starting with requirement elicitation. In the last couple of years, the Covid-19 pandemic has impacted processes, as meeting clients and stakeholders face-to-face and visiting them in their workplace has been made more difficult by social distancing, changing the techniques for requirement elicitation. Most software development companies rely on distant communication and alternative approaches to collect customers’ requirements to understand their needs, so they can reflect the reality in the work and try to persuade the customers that the developed solution meets their requirements. This study presents a case study of three educational projects at three different universities with different development requirements. The study compares the process before and during the pandemic to identify the challenges and features of the shift which occurred and measure its impact on number of requirements completed in both periods, as well as its impact on development project resources. This study's findings indicate increased requirements during the elicitation process and changes in human resources because of eliminating the practitioners over distance communication during the Covid-19 pandemic.;;10.1145/3551690.3551691;https://doi.org/10.1145/3551690.3551691;;;Covid-19, Software projects, Requirement engineering, Case study;Association for Computing Machinery;;;;;Rejected
Mining Dependencies in Large-Scale Agile Software Development Projects: A Quantitative Industry Study;Biesialska, Katarzyna and Franch, Xavier and Munt\'{e}s-Mulero, Victor;;2021;ACM Digital Library;20–29;;Context: Coordination in large-scale software development is critical yet difficult, as it faces the problem of dependency management and resolution. In this work, we focus on managing requirement dependencies that in Agile software development (ASD) come in the form of user stories. Objective: This work studies decisions of large-scale Agile teams regarding identification of dependencies between user stories. Our goal is to explain detection of dependencies through users’ behavior in large-scale, distributed projects. Method: We perform empirical evaluation on a large real-world dataset from an Agile software organization, provider of a leading software for Agile project management. We mine the usage data of the Agile Lifecycle Management (ALM) tool to extract large-scale development project data for more than 70 teams running over a five-year period. Results: Our results demonstrate that dependencies among user stories are not frequently observed (the problem affects around 10% of user stories), however, their implications on large-scale ASD are considerable. Dependencies have impact on software releases and increase work coordination complexity for members of different teams. Conclusion: Requirement dependencies undermine Agile teams’ autonomy and are difficult to manage at scale. We conclude that leveraging ALM monitoring data to automatically detect dependencies could help Agile teams address work coordination needs and manage risks related to dependencies in a timely manner.;;10.1145/3463274.3463323;https://doi.org/10.1145/3463274.3463323;;;Agile Software Development, Requirement Dependencies, Mining Software Repositories;Association for Computing Machinery;;;;;Rejected
A Pilot Study of Requirement Prioritization Techniques in Agile Software Development.;Kuengjai, Yadamanee and Ramingwong, Lachana;;2021;ACM Digital Library;146–151;;Requirement prioritization (RP) is a method for identifying the most critical requirements that should be immediately addressed. The results show how much all parties truly understand the requirements of the project. A trustworthy requirements prioritization process can ensure that the most important requirements are in line with business needs and should be developed first. The process results in the prioritized list of requirements that support decision making in release planning and subsequent activities to maximize software quality and customer satisfaction. This paper identified strengths and weaknesses of existing RP techniques. That leads to identification of factors in selecting the appropriate RP techniques for software projects. The recommendation can lead to improvement of the existing RP techniques. In addition, this paper presents the survey results of RP techniques used in participating software companies which developed software in Agile Software Development (ASD) context. The results reveal the challenges faced in their RP processes.;;10.1145/3494885.3494912;https://doi.org/10.1145/3494885.3494912;;;Requirement prioritization techniques, Agile Software Development;Association for Computing Machinery;;;;Primary studies;Rejected
A Systematic Literature Review of Improved Knowledge Management in Agile Software Development;Al Hafidz, Mochamad Umar and Sensuse, Dana Indra;;2019;ACM Digital Library;102–105;;Agile Software Development (ASD) is an adaptive software development approach that easily adapts to changing software requirements. It offers an advantage in time management but has disadvantages such as lack of software documentation and knowledge management. This research aims to understand more about research development in the knowledge management improvisation in Agile Software Development by collecting various themes of improved area and method used. To achieve this goal, 226 articles written in 2009-2018 are screened by using Kitchenham method to produce 15 best articles. This systematic literature review (SLR) results in a summary of improvements in knowledge management. The summary includes various approaches of several themes such as documentation, tools or technology, and others. The areas that need improvement are tools for supporting communication and documentation. The suggested improvement that has been proposed by researcher focuses mostly on artifact documentation, decision making, effort estimation and tools. In these studies, research question can be identified, analyzed, and answered.;;10.1145/3305160.3305192;https://doi.org/10.1145/3305160.3305192;;;agile software development, knowledge management, improvement, Systematic literature review;Association for Computing Machinery;;;;;Accepted
A Systematic Literature Review on Implementing Non-functional Requirements in Agile Software Development: Issues and Facilitating Practices;Jarz{\k{e}}bowicz, Aleksanderand Weichbroth, Pawe{\l};;2021;Springer Link;91--110;;"Agile Software Development methods have become a widespread approach used by the software industry. Non-functional requirements (NFRs) are often reported to be a problematic issue for such methods. We aimed to identify (within the context of Agile projects): (1) the issues (challenges and problems) reported as affecting the implementation of NFRs; and (2) practices that facilitate the successful implementation of NFRs. We conducted a systematic literature review and processed its results to obtain a comprehensive summary. We were able to present two lists, dedicated to issues and practices, respectively. Most items from both lists, but not all, are related to the requirements engineering area. We found out that the issues reported are mostly related to the common themes of: NFR documentation techniques, NFR traceability, elicitation and communication activities. The facilitating practices mostly cover similar topics and the recommendation is to start focusing on NFRs early in the project.";;10.1007/978-3-030-67084-9_6;;;;;Springer International Publishing;;;;;Accepted
Analysing Requirements in a Case Study of Pairing;Yu, Yijun and Sharp, Helen;;2011;ACM Digital Library;;;Agile software development methods suggest that sharing tasks between a pair of developers has advantages over letting them work as individuals. This effect has been observed in designing and coding tasks too. However, it is not yet known whether or not pairing on requirements engineering tasks could deliver a similar benefit at an early phase of software projects. Based on first-hand experience in pairing development of the OpenOME tool, we analyse the evolving stakeholder requirements using the i*/Tropos method. Our findings show that sharing tasks of different roles becomes more effective when those roles are played by one stakeholder, possibly due to smaller communication delay at a shorter distance.;;10.1145/2068783.2068787;https://doi.org/10.1145/2068783.2068787;;;pairing, i* methodology, open-source development, case study, agile software development;Association for Computing Machinery;;;;;Rejected
Software Development Processes for Games: A Systematic Literature Review;Osborne O'Hagan, Annand Coleman, Gerryand O'Connor, Rory V.;;2014;Springer Link;182--193;;This paper describes the methodology and results from a Systematic Literature Review (SLR) of the software processes used in game development. A total of 404 papers were analyzed as part of the review and the various process models that are used in industry and academia/research are presented. Software Process Improvement (SPI) initiatives for game development are discussed. The factors that promote or deter the adoption of process models, and implementing SPI in practice are highlighted. Our findings indicate that there is no single model that serves as a best practice process model for game development and it is a matter of deciding which model is best suited for a particular game. Agile models such as Scrum and XP are suited to the knowledge intensive domain of game development where innovation and speed to market are vital. Hybrid approaches such as reuse can also be suitable for game development where the risk of the upfront investment in terms of time and cost is mitigated with a game that has stable requirements and a longer lifespan.;;;;;;;Springer Berlin Heidelberg;;;;;Rejected
A Systematic Review of Game Design Methods and Tools;Almeida, Marcos Silvano Oritaand da Silva, Fl{\'a}vio Soares Corr{\^e}a;;2013;Springer Link;17--29;;The game designer's craft is very young if compared to filmmaking and software development. The knowledge base and formal techniques of these areas is far more comprehensive. Even after decades of evolution of the games production software, the range of design centered techniques and tools is still limited, as observed by many authors. Thereby, efforts have been made towards the establishment of game design formal methods. This paper presents a systematization over the contributions of researchers and designers towards conceptual and concrete tools. These efforts converge to two approaches: the build of a shared design vocabulary and a game design modeling language. While valuable, the existing implementations of these approaches are not mature enough to gain industry adepts, serving only as reference to future works. Moreover, it is needed to discover the designer's particular methods, which may contribute to-wards the constitution of a unified design toolbox.;;;;;;;Springer Berlin Heidelberg;;;;;Rejected
Global Software Development and Quality Management: A Systematic Review;Mishra, Deeptiand Mishra, Alokand Colomo-Palacios, Ricardoand Casado-Lumbreras, Cristina;;2013;Springer Link;302--311;;This paper presents a systematic literature review of global software development (GSD) and quality management aspects. The main focus is to highlight the current research and practice direction in these areas. The results have been limited to peer-reviewed conference papers and journal articles, published between 2000 and 2011. The analysis reports that major studies have been performed in quality and process management, while verification and validation issues of GSD can only get limited attention among researchers. This indicates the need for future research (quantitative and qualitative) in these areas.;;;;;;;Springer Berlin Heidelberg;;;;;Rejected
Distances between Requirements Engineering and Later Software Development Activities: A Systematic Map;Bjarnason, Elizabeth;;2013;Springer Link;292--307;;[Context and Motivation] The main role of requirements engineering (RE) is to guide development projects towards implementing products that will appeal to customers. To effectively achieve this RE needs to be coordinated with and clearly communicated to the later software development activities. [Question/Problem] Communication gaps between RE and other development activities reduce coordination and alignment, and can lead to project delays and failure to meet customer needs. [Principle ideas/results] The main hypothesis is that coordination is enhanced by proximity to RE roles and artefacts, and that distances to later activities increase the effort needed to align requirements with other development work. Thirteen RE-related distances have been identified through a systematic map of existing research. [Contribution] Reported distances are mapped according to research type, RE activity and later software development activities. The results provide an overview of RE distances and can be used a basis for defining a theoretical framework.;;;;;;;Springer Berlin Heidelberg;;;;;Rejected
A Review of Prominent Work on Agile Processes Software Process Improvement and Process Tailoring Practices;Akbar, Rehanand Hassan, Mohd Fadziland Abdullah, Azrai;;2011;Springer Link;571--585;;Global software development has changed the overall software development practices. It has introduced various new software development processes and methodologies. A new generation of processes has increasingly replaced the traditional software engineering practices. Emerging practices such as agile based methodologies, software process tailoring, process improvement and management approaches have gained much attention during the recent years. Software engineering researchers have produced a number of good quality works in such areas. In this paper, a review of major contributions of the researchers on various aspects of software development processes is presented. Specifically, the analysis on different approaches of process improvement and tailoring is critically discussed in the paper. This research provides guidelines to the researchers on future research directions. The research emphasizes on the need of industry oriented practical approaches of software development to meet the challenges of global software development.;;;;;;;Springer Berlin Heidelberg;;;;;Rejected
From Manufacture to Software Development: A Comparative Review;Katayama, Eduardo T.and Goldman, Alfredo;;2011;Springer Link;88--101;;Agile Software Development methods have caught the attention of software engineers and researchers worldwide, but scientific research on the subject still remains quite scarce. The aim of this study is to organize and facilitate future works on Agile methods derived from manufacturing industry. This comparative review is performed from the standpoint of using Abrahamsson et al.'s analytical perspectives: project management support, life-cycle coverage, type of practical guidance, adaptability in actual use, type of research objectives and existence of empirical evidence. Our results show that Agile methods derived from manufacturing industry cover various phases of the life-cycle and that most fail to provide adequate project management support. To describe the status of research on Agile methods derived from manufacturing, we conducted a literature search in the ISI Web of Science. After ten years of application empirical evidence remains quite limited.;;;;;;;Springer Berlin Heidelberg;;;;;Rejected
Software Process Simulation Modeling: An Extended Systematic Review;Zhang, Heand Kitchenham, Barbaraand Pfahl, Dietmar;;2010;Springer Link;309--320;;Software Process Simulation Modeling (SPSM) research has increased in the past two decades, especially since the first ProSim Workshop held in 1998. Our research aims to systematically assess how SPSM has evolved during the past 10 years in particular whether the purposes for SPSM, the simulation paradigms, tools, research topics, and the model scopes and outputs have changed. We performed a systematic literature review of the SPSM research in two subsequent stages, and identified 156 relevant studies in four categories. This paper reports the review process of the second stage and the preliminary results by aggregating studies from the two stages. Although the load of SPSM studies was dominated in ProSim/ICSP community, the outside research presented more diversity in some aspects. We also perceived an immediate need for refining and updating the reasons and the classification scheme for SPSM introduced by Kellner, Madachy and Raffo (KMR).;;;;;;;Springer Berlin Heidelberg;;;;;Rejected
Distributed Information System Development: Review of Some Management Issues;Mishra, Deeptiand Mishra, Alok;;2009;Springer Link;282--291;;Due to the proliferation of the Internet and globalization, distributed information system development is becoming popular. In this paper we have reviewed some significant management issues like process management, project management, requirements management and knowledge management issues which have received much attention in distributed development perspective. In this literature review we found that areas like quality and risk management issues could get only scant attention in distributed information system development.;;;;;;;Springer Berlin Heidelberg;;;;;Rejected
Where Is the Proof? - A Review of Experiences from Applying MDE in Industry;Mohagheghi, Parastooand Dehlen, Vegard;;2008;Springer Link;432--443;;Model-Driven Engineering (MDE) has been promoted as a solution to handle the complexity of software development by raising the abstraction level and automating labor-intensive and error-prone tasks. However, few efforts have been made at collecting evidence to evaluate its benefits and limitations, which is the subject of this review. We searched several publication channels in the period 2000 to June 2007 for empirical studies on applying MDE in industry, which produced 25 papers for the review. Our findings include industry motivations for investigating MDE and the different domains it has been applied to. In most cases the maturity of third-party tool environments is still perceived as unsatisfactory for large-scale industrial adoption. We found reports of improvements in software quality and of both productivity gains and losses, but these reports were mainly from small-scale studies. There are a few reports on advantages of applying MDE in larger projects, however, more empirical studies and detailed data are needed to strengthen the evidence. We conclude that there is too little evidence to allow generalization of the results at this stage.;;;;;;;Springer Berlin Heidelberg;;;;;Rejected
